Index, Year, Title, Artist, Col1, 'Col2', 'Col3', 'Col4', 'Col5'
48,2022-03-12,"Love Me Like You Do (From "Fifty Shades of Grey")","Ellie Goulding",https://www.shazam.com/track/275420583/love-me-like-you-do-from-fifty-shades-of-grey,275420583
49,2022-02-18,"I Like Chopin","Gazebo",https://www.shazam.com/track/10790746/i-like-chopin,10790746
50,2022-02-14,"You Don't Understand Me","Roxette",https://www.shazam.com/track/11228417/you-dont-understand-me,11228417
51,2022-02-14,"Sugar Sugar","The Archies",https://www.shazam.com/track/265648280/sugar-sugar,265648280
52,2022-02-11,"Ti Voglio Tanto Bene","Gianna Nannini",https://www.shazam.com/track/53067711/ti-voglio-tanto-bene,53067711
53,2022-02-10,"Donne","Zucchero & The Randy Jackson Band",https://www.shazam.com/track/59263214/donne,59263214
54,2022-02-10,"Infinity 2008 (Klaas Vocal Mix)","Guru Josh Project",https://www.shazam.com/track/61081134/infinity-2008-klaas-vocal-mix,61081134
55,2022-02-06,"Dreams (Will Come Alive)","2 Brothers On the 4th Floor",https://www.shazam.com/track/55335001/dreams-will-come-alive,55335001
56,2022-02-06,"(I Just) Died in Your Arms (Club Extended Remix)","Komodo",https://www.shazam.com/track/421512595/i-just-died-in-your-arms-club-extended-remix,421512595
57,2022-02-06,"Without You (feat. Sandro Cavazza)","Avicii",https://www.shazam.com/track/368110920/without-you-feat-sandro-cavazza,368110920
58,2022-02-06,"La Più Bella (Socievole & Adalwolf Remix)","Mecna & CoCo",https://www.shazam.com/track/591658108/la-pi%C3%B9-bella-socievole-and-adalwolf-remix,591658108
59,2022-02-06,"My Universe (SUGA's Remix)","Coldplay & BTS",https://www.shazam.com/track/588770563/my-universe-sugas-remix,588770563
60,2022-02-05,"Love of the Common People","Paul Young",https://www.shazam.com/track/5191872/love-of-the-common-people,5191872
61,2022-02-05,"(I Just) Died in Your Arms","Cutting Crew",https://www.shazam.com/track/55275444/i-just-died-in-your-arms,55275444
62,2022-02-05,"International Love (feat. Chris Brown)","Pitbull",https://www.shazam.com/track/61858958/international-love-feat-chris-brown,61858958
63,2022-02-04,"Nothing Compares 2 U","Sinéad O'Connor",https://www.shazam.com/track/5825571/nothing-compares-2-u,5825571
64,2022-02-04,"Faded Love","Leony",https://www.shazam.com/track/547933149/faded-love,547933149
65,2022-02-03,"Better Days","NEIKED, Mae Muller & Polo G",https://www.shazam.com/track/584604030/better-days,584604030
66,2022-02-03,"Est-ce que tu m'aimes ? (Pilule Bleue)","GIMS",https://www.shazam.com/track/258627316/est-ce-que-tu-maimes-pilule-bleue,258627316
67,2022-02-03,"Hall of Fame (feat. will.i.am)","The Script & will.i.am",https://www.shazam.com/track/63886354/hall-of-fame-feat-will-i-am,63886354
68,2022-01-31,"I Like Chopin","Gazebo",https://www.shazam.com/track/10790746/i-like-chopin,10790746
69,2022-01-25,"Io Ci Sarò","883",https://www.shazam.com/track/20145266/io-ci-sar%C3%B2,20145266
70,2022-01-25,"Every Breath You Take","The Police",https://www.shazam.com/track/266407/every-breath-you-take,266407
71,2022-01-24,"I Don't Know","Erika",https://www.shazam.com/track/20105336/i-dont-know,20105336
72,2022-01-08,"Another Day In Paradise","Phil Collins",https://www.shazam.com/track/247811/another-day-in-paradise,247811
73,2021-12-30,"Don't You (Forget About Me)","Simple Minds",https://www.shazam.com/track/40381148/dont-you-forget-about-me,40381148
74,2021-12-25,"Make Me Feel (EDX Dubai Skyline Remix)","Janelle Monáe",https://www.shazam.com/track/412410695/make-me-feel-edx-dubai-skyline-remix,412410695
75,2021-12-24,"Forever Young (Special Dance Version) [Remaster]","Alphaville",https://www.shazam.com/track/11211034/forever-young-special-dance-version-remaster,11211034
76,2021-12-20,"Viva La Vida","Coldplay",https://www.shazam.com/track/46076121/viva-la-vida,46076121
77,2021-12-20,"Viva La Vida","Coldplay",https://www.shazam.com/track/46076121/viva-la-vida,46076121
78,2021-12-20,"Perfect","Ed Sheeran",https://www.shazam.com/track/342514741/perfect,342514741
79,2021-12-19,"Knockin' On Heaven's Door","Guns N' Roses",https://www.shazam.com/track/10103458/knockin-on-heavens-door,10103458
80,2021-12-19,"Africa","Toto",https://www.shazam.com/track/459379/africa,459379
81,2021-12-17,"Rhythm Is a Dancer","Snap!",https://www.shazam.com/track/263124/rhythm-is-a-dancer,263124
82,2021-12-07,"Fisico & politico","Luca Carboni & Fabri Fibra",https://www.shazam.com/track/96793822/fisico-politico,96793822
83,2021-11-22,"Sun Goes Down (feat. Jasmine Thompson) [Radio Mix]","Robin Schulz",https://www.shazam.com/track/150866896/sun-goes-down-feat-jasmine-thompson-radio-mix,150866896
84,2021-11-18,"No More (Bottai Edit) [feat. Brenda Mullen]","Alex Gaudino",https://www.shazam.com/track/457230535/no-more-feat-brenda-mullen-bottai-edit,457230535
85,2021-11-13,"Only The Horses (Extended Mix)","Scissor Sisters",https://www.shazam.com/track/60189366/only-the-horses-extended-mix,60189366
86,2021-11-07,"International Love (feat. Chris Brown)","Pitbull",https://www.shazam.com/track/61858958/international-love-feat-chris-brown,61858958
87,2021-11-04,"X - Files","DJ Dado",https://www.shazam.com/track/11140195/x-files,11140195
88,2021-11-03,"In The Morning Light","Yanni",https://www.shazam.com/track/5342999/in-the-morning-light,5342999
89,2021-10-31,"Photograph (Felix Jaehn Remix)","Ed Sheeran",https://www.shazam.com/track/301544915/photograph-felix-jaehn-remix,301544915
90,2021-10-23,"Photograph","Ed Sheeran",https://www.shazam.com/track/131717165/photograph,467201149
91,2021-10-19,"Africa","Toto",https://www.shazam.com/track/459379/africa,459379
92,2021-10-13,"Photograph (Felix Jaehn Remix)","Ed Sheeran",https://www.shazam.com/track/301544915/photograph-felix-jaehn-remix,301544915
93,2021-10-12,"Heaven","Bryan Adams",https://www.shazam.com/track/217717/heaven,217717
94,2021-10-07,"Il Battito Animale","Raf",https://www.shazam.com/track/20144669/il-battito-animale,20144669
95,2021-10-04,"Cold Heart (PS1 Remix)","Elton John & Dua Lipa",https://www.shazam.com/track/584715000/cold-heart-ps1-remix,584715000
96,2021-10-02,"Friday Night","Burak Yeter",https://www.shazam.com/track/470864366/friday-night,470864366
97,2021-09-28,"Wouldn't It Be Good","Nik Kershaw",https://www.shazam.com/track/46934202/wouldnt-it-be-good,46934202
98,2021-09-24,"Hall of Fame (feat. will.i.am)","The Script & will.i.am",https://www.shazam.com/track/63886354/hall-of-fame-feat-will-i-am,63886354
99,2021-09-23,"Thunderclouds (feat. Sia, Diplo & Labrinth)","LSD",https://www.shazam.com/track/434628736/thunderclouds-feat-sia-diplo-labrinth,434628736
100,2021-09-18,"Show Me Love","Robin S.",https://www.shazam.com/track/5918573/show-me-love,5918573
101,2021-09-15,"She Wolf (Falling to Pieces) [feat. Sia]","David Guetta",https://www.shazam.com/track/66016240/she-wolf-falling-to-pieces-feat-sia,66016240
102,2021-09-15,"Only The Horses","Scissor Sisters",https://www.shazam.com/track/58109906/only-the-horses,58109906
103,2021-09-14,"Villain of the Day: Episode I","Death*Star",https://www.shazam.com/track/117008630/villain-of-the-day-episode-i,117008630
104,2021-09-13,"Cotton Eye Joe","Rednex",https://www.shazam.com/track/101401430/cotton-eye-joe,101401430
105,2021-09-11,"Calling (Lose My Mind) [Radio Edit] [feat. Ryan Tedder]","Sebastian Ingrosso & Alesso",https://www.shazam.com/track/58275561/calling-lose-my-mind-radio-edit-feat-ryan-tedder,58275561
106,2021-09-10,"What A Feeling (House Radio Edit)","Global Deejays",https://www.shazam.com/track/49842878/what-a-feeling-house-radio-edit,49842878
107,2021-09-10,"Faded","Alan Walker",https://www.shazam.com/track/297103606/faded,297103606
108,2021-09-04,"Out of Reach (Bridget Jones's Diary Soundtrack Version)","Gabrielle",https://www.shazam.com/track/57058228/out-of-reach-bridget-joness-diary-soundtrack-version,57058228
109,2021-09-04,"Tomorrow","MIKA",https://www.shazam.com/track/40004840/tomorrow,40004840
110,2021-09-02,"Peace (Club Mix)","Blackwood",https://www.shazam.com/track/104854079/peace-club-mix,104854079
111,2021-08-31,"Moonlight Shadow","Mike Oldfield",https://www.shazam.com/track/11042434/moonlight-shadow,11042434
112,2021-08-31,"Such a Shame","Talk Talk",https://www.shazam.com/track/346867/such-a-shame,346867
113,2021-08-29,"My Life Is Going On (Burak Yeter Remix)","Burak Yeter & Cecilia Krull",https://www.shazam.com/track/426759308/my-life-is-going-on-burak-yeter-remix,426759308
114,2021-08-26,"Un'emozione Per Sempre","Eros Ramazzotti",https://www.shazam.com/track/11270736/unemozione-per-sempre,11270736
115,2021-08-26,"Oops!...I Did It Again","Britney Spears",https://www.shazam.com/track/11120259/oops-i-did-it-again,11120259
116,2021-08-26,"Demons","Imagine Dragons",https://www.shazam.com/track/78832419/demons,78832419
117,2021-08-26,"Mirage (Radio Edit)","Paps'n'Skar",https://www.shazam.com/track/40302611/mirage-radio-edit,40302611
